title,price,meterage,district,link,floor,build_year,rooms
۶۵ متر ۲ خواب امیریه ولیعصر,8000000000,65.0,امیریه,https://divar.ir/v/%DB%B6%DB%B5-%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8-%D8%A7%D9%85%DB%8C%D8%B1%DB%8C%D9%87-%D9%88%D9%84%DB%8C%D8%B9%D8%B5%D8%B1/gaoJZAAU?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaoJZAAU_N,,,
48متری/فول امکانات/پارکینگ دار,5580000000,48.0,مقدم,https://divar.ir/v/48%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%AF%D8%A7%D8%B1/ga3Vig3j?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3Vig3j_N,۳ از ۴,۱۳۹۴,۱
87 متر /پارکینگ/انباری/شبیه نوساز بازسازی شده,12100000000,87.0,دکتر هوشیار,https://divar.ir/v/87-%D9%85%D8%AA%D8%B1-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%DB%8C-%D8%B4%D8%A8%DB%8C%D9%87-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87/ga3pS7b0?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pS7b0_N,۴ از ۴,۱۴۰۲,۱
۵۶متر/۱خواب خوش نقشه آسانسور/انباری تراس,8400000000,56.0,وحیدیه,https://divar.ir/v/%DB%B5%DB%B6%D9%85%D8%AA%D8%B1-%DB%B1%D8%AE%D9%88%D8%A7%D8%A8-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87-%D8%A2%D8%B3%D8%A7%D9%86%D8%B3%D9%88%D8%B1-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%DB%8C-%D8%AA%D8%B1%D8%A7%D8%B3/gaz9C6PP?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaz9C6PP_N,۲,۱۳۹۴,۱
۱۰۲ متر سرتاسر پرده خور عکس ها واقعی ۷ ساله,27500000000,102.0,سازمان برنامه جنوبی,https://divar.ir/v/%DB%B1%DB%B0%DB%B2-%D9%85%D8%AA%D8%B1-%D8%B3%D8%B1%D8%AA%D8%A7%D8%B3%D8%B1-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%B9%DA%A9%D8%B3-%D9%87%D8%A7-%D9%88%D8%A7%D9%82%D8%B9%DB%8C-%DB%B7-%D8%B3%D8%A7%D9%84%D9%87/gaUxqz7o?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaUxqz7o_N,۴,۱۳۹۸,۲
۵۱متر ۱خواب/سالن پرده خور/بازسازی/سرمایه گذاری,12750000000,51.0,فردوس,https://divar.ir/v/%DB%B5%DB%B1%D9%85%D8%AA%D8%B1-%DB%B1%D8%AE%D9%88%D8%A7%D8%A8-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C/gal5dXwm?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gal5dXwm_N,۲,۱۳۸۳,۱
۶۵ م * ۲ خ * تکواحدی * لوکس,10500000000,65.0,جیحون,https://divar.ir/v/%DB%B6%DB%B5-%D9%85-%DB%B2-%D8%AE-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%84%D9%88%DA%A9%D8%B3/ga3pi4uu?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pi4uu_N,۲,۱۳۸۵,۲
۴۵متر/تکواحدی/زیرهمکف/فول بازسازی شده,5200000000,45.0,سلسبیل شمالی,https://divar.ir/v/%DB%B4%DB%B5%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%B2%DB%8C%D8%B1%D9%87%D9%85%DA%A9%D9%81-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87/gav1zlgk?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gav1zlgk_N,زیرهمکف از ۴,۱۳۸۶,۱
اپارتمان۵۰ متری طبقه سوم میر کاضمیان,5500000000,50.0,مختاری,https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%B7%D8%A8%D9%82%D9%87-%D8%B3%D9%88%D9%85-%D9%85%DB%8C%D8%B1-%DA%A9%D8%A7%D8%B6%D9%85%DB%8C%D8%A7%D9%86/gaTBkf_r?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaTBkf_r_N,۳ از ۴,۱۳۷۹,۱
۷۲متر فول امکانات۳ساله بوستان سلماسی پرده خور,13800000000,72.0,سلسبیل شمالی,https://divar.ir/v/%DB%B7%DB%B2%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA%DB%B3%D8%B3%D8%A7%D9%84%D9%87-%D8%A8%D9%88%D8%B3%D8%AA%D8%A7%D9%86-%D8%B3%D9%84%D9%85%D8%A7%D8%B3%DB%8C-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1/gai5yf8E?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gai5yf8E_N,,,
۱۰۴متر نوساز * یک انتخاب خاص برای خاص پسندان *,28800000000,104.0,شهران جنوبی,https://divar.ir/v/%DB%B1%DB%B0%DB%B4%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%DB%8C%DA%A9-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8-%D8%AE%D8%A7%D8%B5-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%AE%D8%A7%D8%B5-%D9%BE%D8%B3%D9%86%D8%AF%D8%A7%D9%86/ga3pi7SP?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pi7SP_N,۳,۱۴۰۳,۲
۶۹متر ۲ خواب شاهین شمالی,21000000000,69.0,جنت‌آباد مرکزی,https://divar.ir/v/%DB%B6%DB%B9%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B4%D8%A7%D9%87%DB%8C%D9%86-%D8%B4%D9%85%D8%A7%D9%84%DB%8C/gaph-viq?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaph-viq_N,۳,۱۳۹۵,۲
86 متر دوخوابه غرب باقری ( بلوار اردیبهشت),15800000000,86.0,تهرانپارس غربی,https://divar.ir/v/86-%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%BA%D8%B1%D8%A8-%D8%A8%D8%A7%D9%82%D8%B1%DB%8C-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%A7%D8%B1%D8%AF%DB%8C%D8%A8%D9%87%D8%B4%D8%AA/ga3pCDme?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pCDme_N,۲,۱۳۹۳,۲
۴۲ متر /فول امکانات/جیحون,5850000000,42.0,جیحون,https://divar.ir/v/%DB%B4%DB%B2-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%AC%DB%8C%D8%AD%D9%88%D9%86/ga2tuH1t?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga2tuH1t_N,۴,۱۳۹۲,۱
42 متر سوئیت / میدان 68,8200000000,42.0,هفت حوض,https://divar.ir/v/42-%D9%85%D8%AA%D8%B1-%D8%B3%D9%88%D8%A6%DB%8C%D8%AA-%D9%85%DB%8C%D8%AF%D8%A7%D9%86-68/ga3pitTH?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pitTH_N,,,
۱۲۵متر / تک واحدی/ فول امکانات/ فوری فوری,14200000000,125.0,سلیمانی,https://divar.ir/v/%DB%B1%DB%B2%DB%B5%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D9%81%D9%88%D8%B1%DB%8C-%D9%81%D9%88%D8%B1%DB%8C/ga0hzw0I?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga0hzw0I_N,۵ از ۵,۱۳۹۵,۲
۵۱ متر/ فول بازسازی/ چهارراه شاپور,4950000000,51.0,امیریه,https://divar.ir/v/%DB%B5%DB%B1-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%DA%86%D9%87%D8%A7%D8%B1%D8%B1%D8%A7%D9%87-%D8%B4%D8%A7%D9%BE%D9%88%D8%B1/ga3hSjaT?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3hSjaT_N,۱,۱۳۸۴,۱
بلوار ابراهیم آباد برزگر رحیمی 75 متر فول دو خواب,7000000000,75.0,شادآباد,https://divar.ir/v/%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85-%D8%A2%D8%A8%D8%A7%D8%AF-%D8%A8%D8%B1%D8%B2%DA%AF%D8%B1-%D8%B1%D8%AD%DB%8C%D9%85%DB%8C-75-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8/ga3RCRYK?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3RCRYK_N,۴ از ۵,۱۳۹۴,۲
۴۸متر/فول امکانات/شهیدکاظمی,7200000000,48.0,سلیمانی,https://divar.ir/v/%DB%B4%DB%B8%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%B4%D9%87%DB%8C%D8%AF%DA%A9%D8%A7%D8%B8%D9%85%DB%8C/ga3pSws1?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pSws1_N,۳ از ۴,۱۳۹۵,۱
66متر دو خواب طبقه دوم تک,8100000000,66.0,افسریه شمالی,https://divar.ir/v/66%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B7%D8%A8%D9%82%D9%87-%D8%AF%D9%88%D9%85-%D8%AA%DA%A9/ga3dC8LD?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3dC8LD_N,۲,۱۳۸۹,۲
۶۷ متر طبقه اول,8250000000,67.0,جیحون,https://divar.ir/v/%DB%B6%DB%B7-%D9%85%D8%AA%D8%B1-%D8%B7%D8%A8%D9%82%D9%87-%D8%A7%D9%88%D9%84/gagpmAhy?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gagpmAhy_N,,,
۲۳۰ متر یک از چهار با ۱۱۰ متر قدرالسهم جردن فوری,55000000000,230.0,گاندی,https://divar.ir/v/%DB%B2%DB%B3%DB%B0-%D9%85%D8%AA%D8%B1-%DB%8C%DA%A9-%D8%A7%D8%B2-%DA%86%D9%87%D8%A7%D8%B1-%D8%A8%D8%A7-%DB%B1%DB%B1%DB%B0-%D9%85%D8%AA%D8%B1-%D9%82%D8%AF%D8%B1%D8%A7%D9%84%D8%B3%D9%87%D9%85-%D8%AC%D8%B1%D8%AF%D9%86-%D9%81%D9%88%D8%B1%DB%8C/gatoCmNT?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gatoCmNT_N,۴,۱۳۷۱,۴
هفت تیر بهار ۶۵ متر ۲ پارکینگ فول,15200000000,65.0,بهار,https://divar.ir/v/%D9%87%D9%81%D8%AA-%D8%AA%DB%8C%D8%B1-%D8%A8%D9%87%D8%A7%D8%B1-%DB%B6%DB%B5-%D9%85%D8%AA%D8%B1-%DB%B2-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D9%81%D9%88%D9%84/gatB6Uk9?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gatB6Uk9_N,۱ از ۴,۱۳۸۰,۱
۱۱۵متر/دوکله نور/شهرزیبا,25000000000,115.0,سازمان آب,https://divar.ir/v/%DB%B1%DB%B1%DB%B5%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%DA%A9%D9%84%D9%87-%D9%86%D9%88%D8%B1-%D8%B4%D9%87%D8%B1%D8%B2%DB%8C%D8%A8%D8%A7/gaotUDTa?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaotUDTa_N,۳ از ۵,۱۳۹۰,۲
آپارتمان لوکس ۱۸۳متر ولنجک,130000000000,183.0,زعفرانیه,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D9%84%D9%88%DA%A9%D8%B3-%DB%B1%DB%B8%DB%B3%D9%85%D8%AA%D8%B1-%D9%88%D9%84%D9%86%D8%AC%DA%A9/ga3dCC_w?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3dCC_w_N,۳,۱۴۰۴,۳
۱۶۰ متر آپارتمان یک از دو با۱۵۰متر قدرالسهم,60000000000,160.0,کاج,https://divar.ir/v/%DB%B1%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%8C%DA%A9-%D8%A7%D8%B2-%D8%AF%D9%88-%D8%A8%D8%A7%DB%B1%DB%B5%DB%B0%D9%85%D8%AA%D8%B1-%D9%82%D8%AF%D8%B1%D8%A7%D9%84%D8%B3%D9%87%D9%85/gahYLmFa?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gahYLmFa_N,۱ از ۲,۱۳۷۱,۳
۹۰متر/فول‌امکانات/براصلی/خوش‌نقشه,18100000000,90.0,جمال‌زاده,https://divar.ir/v/%DB%B9%DB%B0%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%A8%D8%B1%D8%A7%D8%B5%D9%84%DB%8C-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87/ga39x5J3?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga39x5J3_N,۱ از ۵,۱۳۹۵,۲
۵۶ متر زرتشت غربی,23500000000,56.0,بلوار کشاورز,https://divar.ir/v/%DB%B5%DB%B6-%D9%85%D8%AA%D8%B1-%D8%B2%D8%B1%D8%AA%D8%B4%D8%AA-%D8%BA%D8%B1%D8%A8%DB%8C/gafJDowg?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gafJDowg_N,۳ از ۵,۱۴۰۴,۱
آپارتمان۱۱۵م۱۲۲م۱۴۰م/تهرانسر۳خواب,23500000000,115.0,شهرک پاسداران,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86%DB%B1%DB%B1%DB%B5%D9%85%DB%B1%DB%B2%DB%B2%D9%85%DB%B1%DB%B4%DB%B0%D9%85-%D8%AA%D9%87%D8%B1%D8%A7%D9%86%D8%B3%D8%B1%DB%B3%D8%AE%D9%88%D8%A7%D8%A8/ga3liXhM?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3liXhM_N,۴,۱۴۰۴,۳
۷۶متر ۲خواب/ تکواحدی/فول/نوساز,17550000000,76.0,امامت,https://divar.ir/v/%DB%B7%DB%B6%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%81%D9%88%D9%84-%D9%86%D9%88%D8%B3%D8%A7%D8%B2/ga2Zf8_f?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga2Zf8_f_N,۴,۱۴۰۱,۲
۷۳متر ۲خواب/ پارکینگ/ تکواحدی/طبقه سوم,11250000000,73.0,تهران‌نو,https://divar.ir/v/%DB%B7%DB%B3%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%B7%D8%A8%D9%82%D9%87-%D8%B3%D9%88%D9%85/gajsuc-R?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gajsuc-R_N,۳,۱۳۹۰,۲
55 متر نو ساز و کلید نخورده,19300000000,55.0,شاهین,https://divar.ir/v/55-%D9%85%D8%AA%D8%B1-%D9%86%D9%88-%D8%B3%D8%A7%D8%B2-%D9%88-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87/ga3pSbjO?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pSbjO_N,۱,۱۴۰۵,۱
90متر/حاجی صادقی / فول امکانات,23250000000,90.0,هفت حوض,https://divar.ir/v/90%D9%85%D8%AA%D8%B1-%D8%AD%D8%A7%D8%AC%DB%8C-%D8%B5%D8%A7%D8%AF%D9%82%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA/ga3liwmI?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3liwmI_N,۱ از ۵,۱۳۹۶,۲
107متر/2خواب/نوساز/توحید,31000000000,107.0,توحید,https://divar.ir/v/107%D9%85%D8%AA%D8%B1-2%D8%AE%D9%88%D8%A7%D8%A8-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%AA%D9%88%D8%AD%DB%8C%D8%AF/gaUluX43?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaUluX43_N,۴ از ۵,۱۴۰۴,۲
115متر/2خواب/2پارکینگ/ظفر,35000000000,115.0,ظفر,https://divar.ir/v/115%D9%85%D8%AA%D8%B1-2%D8%AE%D9%88%D8%A7%D8%A8-2%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%B8%D9%81%D8%B1/ga3pSQfl?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pSQfl_N,۱ از ۵,۱۳۹۸,۲
۷۵متر/تک واحدی/پارکینگ غیرمزاحم/سالن مربع,9800000000,75.0,جیحون,https://divar.ir/v/%DB%B7%DB%B5%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%BA%DB%8C%D8%B1%D9%85%D8%B2%D8%A7%D8%AD%D9%85-%D8%B3%D8%A7%D9%84%D9%86-%D9%85%D8%B1%D8%A8%D8%B9/ga3Zyfe6?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3Zyfe6_N,۲ از ۴,۱۳۸۶,۲
۱۹۰متر جهانتاب/فول نوسازی/فول مشاعات/دو پارکینگ,62000000000,190.0,اختیاریه,https://divar.ir/v/%DB%B1%DB%B9%DB%B0%D9%85%D8%AA%D8%B1-%D8%AC%D9%87%D8%A7%D9%86%D8%AA%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D9%86%D9%88%D8%B3%D8%A7%D8%B2%DB%8C-%D9%81%D9%88%D9%84-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%AF%D9%88-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF/gatIr-wJ?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gatIr-wJ_N,۱ از ۶,۱۳۹۳,۳
۷۰متری غرق نور/روبنما،لوکس وشیک/مناسب خاص پسندان,6750000000,70.0,چیتگر جنوبی,https://divar.ir/v/%DB%B7%DB%B0%D9%85%D8%AA%D8%B1%DB%8C-%D8%BA%D8%B1%D9%82-%D9%86%D9%88%D8%B1-%D8%B1%D9%88%D8%A8%D9%86%D9%85%D8%A7-%D9%84%D9%88%DA%A9%D8%B3-%D9%88%D8%B4%DB%8C%DA%A9-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%AE%D8%A7%D8%B5-%D9%BE%D8%B3%D9%86%D8%AF%D8%A7%D9%86/ga3pSGsX?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pSGsX_N,۲,۱۴۰۴,۲
اپارتمان ۷۰ متری تک واحدی,9000000000,70.0,تولید دارو,https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C/gahd_eAv?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gahd_eAv_N,۱,۱۳۸۵,۲
74متری فول اعیان نشین منطقه,17400000000,74.0,طرشت,https://divar.ir/v/74%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D8%B9%DB%8C%D8%A7%D9%86-%D9%86%D8%B4%DB%8C%D9%86-%D9%85%D9%86%D8%B7%D9%82%D9%87/gaXFIr3k?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaXFIr3k_N,۵,۱۳۹۳,۲
۳۹ متر بر اصلی خیابان طوس تقاطع قصرالدشت,6190000000,39.0,جیحون,https://divar.ir/v/%DB%B3%DB%B9-%D9%85%D8%AA%D8%B1-%D8%A8%D8%B1-%D8%A7%D8%B5%D9%84%DB%8C-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86-%D8%B7%D9%88%D8%B3-%D8%AA%D9%82%D8%A7%D8%B7%D8%B9-%D9%82%D8%B5%D8%B1%D8%A7%D9%84%D8%AF%D8%B4%D8%AA/gaEpd1Mq?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaEpd1Mq_N,۲,۱۳۸۲,۱
84متر2خواب/فول امکانات/نوساز/خوش نقشه/تاپ لوکیشن,10300000000,84.0,جیحون,https://divar.ir/v/84%D9%85%D8%AA%D8%B12%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86/ga3VSrar?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3VSrar_N,۳ از ۵,۱۴۰۳,۲
۱۸۰متر/کیکاووس/فول نوسازی شده/امکان تهاتر با ۲خواب,60000000000,180.0,درب دوم,https://divar.ir/v/%DB%B1%DB%B8%DB%B0%D9%85%D8%AA%D8%B1-%DA%A9%DB%8C%DA%A9%D8%A7%D9%88%D9%88%D8%B3-%D9%81%D9%88%D9%84-%D9%86%D9%88%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87-%D8%A7%D9%85%DA%A9%D8%A7%D9%86-%D8%AA%D9%87%D8%A7%D8%AA%D8%B1-%D8%A8%D8%A7-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8/gaU94qPT?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaU94qPT_N,۱ از ۵,۱۳۸۸,۳
۶۶ متر جهت خرید و فروش در منطقه ۱۰/ متفاوت و مطمئن,8000000000,66.0,سلسبیل شمالی,https://divar.ir/v/%DB%B6%DB%B6-%D9%85%D8%AA%D8%B1-%D8%AC%D9%87%D8%AA-%D8%AE%D8%B1%DB%8C%D8%AF-%D9%88-%D9%81%D8%B1%D9%88%D8%B4-%D8%AF%D8%B1-%D9%85%D9%86%D8%B7%D9%82%D9%87-%DB%B1%DB%B0-%D9%85%D8%AA%D9%81%D8%A7%D9%88%D8%AA-%D9%88-%D9%85%D8%B7%D9%85%D8%A6%D9%86/gapd7W3H?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gapd7W3H_N,,,
۵۰متر/پارکینگ غیر مزاحم/گذر پهن,6100000000,50.0,هاشمی,https://divar.ir/v/%DB%B5%DB%B0%D9%85%D8%AA%D8%B1-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%BA%DB%8C%D8%B1-%D9%85%D8%B2%D8%A7%D8%AD%D9%85-%DA%AF%D8%B0%D8%B1-%D9%BE%D9%87%D9%86/ga3piENV?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3piENV_N,۲ از ۴,۱۳۸۳,۱
سازمان آب (پارک شاهین) 110 متر 2 خواب,37200000000,110.0,ستارخان,https://divar.ir/v/%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86-%D8%A2%D8%A8-%D9%BE%D8%A7%D8%B1%DA%A9-%D8%B4%D8%A7%D9%87%DB%8C%D9%86-110-%D9%85%D8%AA%D8%B1-2-%D8%AE%D9%88%D8%A7%D8%A8/gauFwolo?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gauFwolo_N,۵,۱۳۹۶,۲
90متر 2خواب/پونک /خطی روبه آفتاب /فول,28300000000,90.0,پونک,https://divar.ir/v/90%D9%85%D8%AA%D8%B1-2%D8%AE%D9%88%D8%A7%D8%A8-%D9%BE%D9%88%D9%86%DA%A9-%D8%AE%D8%B7%DB%8C-%D8%B1%D9%88%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D9%81%D9%88%D9%84/ga0xrtiv?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga0xrtiv_N,۲,۱۳۹۴,۲
۵۰ متری فول بر خیابون سبلان شمالی,9000000000,50.0,سبلان (لشگر),https://divar.ir/v/%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D9%88%D9%84-%D8%A8%D8%B1-%D8%AE%DB%8C%D8%A7%D8%A8%D9%88%D9%86-%D8%B3%D8%A8%D9%84%D8%A7%D9%86-%D8%B4%D9%85%D8%A7%D9%84%DB%8C/ga3dSHcy?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3dSHcy_N,۳ از ۴,۱۳۹۴,۱
